22:01:59  |  Core  |  Info  |  Register value : 'Center' = 0  |  c:\users\auniquemind\desktop\gct\voxilian\mygui_3.2.0\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  240
22:01:59  |  Core  |  Info  |  Register value : 'Left' = 2  |  c:\users\auniquemind\desktop\gct\voxilian\mygui_3.2.0\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  241
22:01:59  |  Core  |  Info  |  Register value : 'Right' = 4  |  c:\users\auniquemind\desktop\gct\voxilian\mygui_3.2.0\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  242
22:01:59  |  Core  |  Info  |  Register value : 'HStretch' = 6  |  c:\users\auniquemind\desktop\gct\voxilian\mygui_3.2.0\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  243
22:01:59  |  Core  |  Info  |  Register value : 'Top' = 8  |  c:\users\auniquemind\desktop\gct\voxilian\mygui_3.2.0\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  244
22:01:59  |  Core  |  Info  |  Register value : 'Bottom' = 16  |  c:\users\auniquemind\desktop\gct\voxilian\mygui_3.2.0\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  245
22:01:59  |  Core  |  Info  |  Register value : 'VStretch' = 24  |  c:\users\auniquemind\desktop\gct\voxilian\mygui_3.2.0\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  246
22:01:59  |  Core  |  Info  |  Register value : 'Stretch' = 30  |  c:\users\auniquemind\desktop\gct\voxilian\mygui_3.2.0\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  247
22:01:59  |  Core  |  Info  |  Register value : 'Default' = 10  |  c:\users\auniquemind\desktop\gct\voxilian\mygui_3.2.0\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  248
22:01:59  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTheme.xml'  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
22:01:59  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteImages.xml'  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
22:01:59  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteSkins.xml'  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
22:01:59  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
22:02:00  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
22:02:00  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
22:02:00  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
22:02:00  |  Core  |  Info  |  Gui successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_Gui.cpp  |  133
